date,symbol,price_open,price_close,price_high,price_low,high_52wk,low_52wk,market_cap,shares_outstanding,float_shares,weekly_avg_volume,free_float_pct,dividend_yield,eps,net_income_margin,price_to_book,price_to_earnings,peg_ratio
2026-07-18,PQGTL,14.69,14.43,14.79,14.2,19.8,10.25,1.46B,101.11M,40.44M,187.18K,40,,,,,,
2026-07-18,PREMA,32.26,31.5,32.47,31.01,56.38,23,6.89B,218.64M,65.59M,873.7K,30,0,2.73,9.01,1.13,11.52,0.25
2026-07-18,PRL,41.8,44.59,45.7,41.5,45.7,23.2,28.09B,630M,227.29M,21.18M,36.08,0,19.07,3.89,0.73,1.48,0.01
2026-07-18,PSEL,903.6,907.94,924.85,891,1635,799,29.53B,32.52M,30.82M,867.6,94.76,0,5.58,1.22,0.66,184.72,5.65
2026-07-18,PSO,354.11,347.64,354.69,347.03,506.75,320.11,163.21B,469.47M,234.74M,2.6M,50,2.88,92.73,1.35,0.56,3.75,0.03
2026-07-18,PSYL,153,154.78,156,146.01,158,52.26,21.47B,138.7M,6.93M,13.15K,5,0,3.38,3.07,4.27,45.74,1.19
2026-07-18,PTL,58,56.68,58.5,56,65.88,45.12,9.52B,168M,42M,2.28M,25,7.06,6.4,3.09,1.18,8.86,
2026-07-18,QTECH,51.11,49.7,52.35,49.2,57.8,23.1,6.04B,121.58M,30.39M,3.06M,25,,,,,,
2026-07-18,QUICE,35.5,34.3,35.5,33.8,46.06,7.51,3.38B,98.46M,68.92M,858.51K,70,,,,,,
2026-07-18,REDCO,32,31.55,34.64,31,40.4,14.9,1.56B,49.29M,2.46M,6.79K,5,,,,,,
2026-07-18,REWM,165.11,166.7,177.44,165.11,244.05,96.02,5.14B,30.81M,10.78M,1.04K,35,,,,,,
2026-07-18,RMPL,9699,9248.79,9800,9200,13565.64,8500,85.43B,9.24M,461.82K,80,5,5.13,715.93,9.02,2.74,12.92,3.23
2026-07-18,RPL,17.09,16.5,17.2,16.43,25.05,12,2.34B,141.9M,44.42M,840.28K,31.3,0,0.13,0.16,0.27,130.95,-36.4
2026-07-18,RUPL,31.7,30.94,31.7,30.1,42.79,23.11,1.05B,34.07M,10.22M,4.38K,30,0,-20.94,-21.91,0.19,-1.48,0.03
2026-07-18,SANSM,122.01,121.59,130,121.55,148.99,41,1.45B,11.95M,6.57M,128.8,55,0,15.39,3.07,0.45,7.9,0.08
2026-07-18,SAPT,1445.01,1485.8,1445.01,1445.01,1606,1164,32.23B,21.69M,2.17M,53.4,10,0.67,387.04,5.77,0.4,3.84,0.25
2026-07-18,SARC,115,107.26,115,105.13,120.32,46.68,643.56M,6M,2.7M,77.34K,45,,,,,,
2026-07-18,SASML,435.99,399.01,435.99,371,469.49,70.9,4.16B,10.43M,2.61M,469.8,25,0.5,6.09,1.12,1.55,65.56,2.43
2026-07-18,SAZEW,2008,1982.65,2008,1980,2487,1151,119.84B,60.45M,21.16M,278.7K,35,3.53,303.75,12.89,3.37,6.53,0
2026-07-18,SCL,750.08,750.07,750.08,750.07,1125,288,2.93B,3.9M,195K,434.4,5,0,-53.91,-8.05,9.44,-13.91,1.05
2026-07-18,SEARL,92.8,91.52,93.59,91.1,137.44,76.37,53.83B,588.22M,294.11M,1.98M,50,0,2.04,6.01,1.57,44.95,185.25
2026-07-18,SEL,31,30.17,31.92,30,45.56,10.61,576.01M,19.09M,10.5M,18.02K,55,,,,,,
2026-07-18,SELECT,31,29.98,31.2,29.9,33.6,28.6,26.65B,888.89M,88.89M,4.02M,10,,,,,,
2026-07-18,SERT,63.16,62.27,69,62.27,84.49,19.17,858.55M,13.79M,2.07M,214.82K,15,,,,,,
2026-07-18,SGF,116.5,116.26,117.35,116,141.89,71.51,24B,206.47M,51.62M,282.12K,25,1.72,11.16,12.03,2.7,10.42,
2026-07-18,SGPL,103,97.59,106,97.59,129.07,7.2,1.74B,17.83M,16.05M,2.24M,90,,,,,,
2026-07-18,SHCM,44.05,50.61,50.61,44.05,96.58,30.52,892.6M,17.64M,1.76M,5.57K,10,,,,,,
2026-07-18,SHDT,57.8,57.11,61.11,56.55,81,36.46,1.3B,22.85M,8M,164.18K,35,,,,,,
2026-07-18,SHFA,535,529.69,541,526.06,615.28,424.13,33.48B,63.21M,28.45M,30.71K,45,0.94,41.05,8.72,2.02,12.9,0.26
2026-07-18,SHSML,390,385,390,385,549,326,8.13B,21.12M,7.39M,9.93K,35,5.19,41.33,4.41,0.63,9.32,0.86
2026-07-18,SIEM,1517.26,1533.99,1534,1517.26,1740,1335,12.65B,8.25M,412.35K,30.4,5,0,31.37,2.85,2.04,48.9,-2.52
2026-07-18,SINDM,23.75,22.81,23.75,22.8,41.25,12,1.03B,45M,4.5M,16.86K,10,,,,,,
2026-07-18,SITC,820.05,829.99,832.99,820.05,1060,516,17.79B,21.43M,6.43M,4.07K,30,1.33,65.36,4.3,0.89,12.7,0.76
2026-07-18,SLGL,16.5,16.31,16.78,16.21,26.5,13,6.88B,421.79M,126.54M,2.94M,30,,,,,,
2026-07-18,SLM,24.48,24.17,24.59,24.09,26.25,21.95,188.4B,7.79B,779.48M,5.56M,10,,,,,,
